theme;axis;classification;weightingFactor;justification;status;year;organizationCode;organizationName;unitCode;unitName;projectActivity;application;presentInCurrentQdd;inactiveAt;importStatus;createdBy;createdAt;id
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12970000;PROMOÇÃO DE AÇÕES DE FORMAÇÃO E QUALIFICAÇÃO PROFISSIONAL EM CULTURA (QUALIFICA + ARTE).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000xa0ig86couhyr
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12980000;FOMENTO E PROMOÇÃO ÀS AÇÕES CULTURAIS NAS REGIONAIS DO ESTADO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ya0ig5mj81cdj
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12990000;CONSTRUÇÃO, REFORMA E AMPLIAÇÃO DOS PRÉDIOS DA FEM.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000za0ig1n8p3gws
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;13000000;PROTEÇÃO À DIVERSIDADE CULTURAL, AS MEMÓRIAS, AOS PATRIMÔNIOS SOCIOAMBIENTAIS E CULTURAIS.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0010a0igawtolobu
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;22870000;MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS E OPERACIONAIS - FEM.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0011a0igemqg52kg
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;601;FUNDO DE MANUTENÇÃO E DESENVOLVI - MENTO DA EDUCAÇÃO BÁSICA - FUNDEB;10950000;GARANTIR A FUNCIONALIDADE DAS UNIDADES ESCOLARES.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0012a0igkrikbpeo
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;601;FUNDO DE MANUTENÇÃO E DESENVOLVI - MENTO DA EDUCAÇÃO BÁSICA - FUNDEB;10960000;MELHORIA, MODERNIZAÇÃO E INOVAÇÃO DA REDE ESTADUAL DE ENSINO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0013a0ig04gij873
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;601;FUNDO DE MANUTENÇÃO E DESENVOLVI - MENTO DA EDUCAÇÃO BÁSICA - FUNDEB;21360000;MANUTENÇÃO DO TRANSPORTE ESCOLAR.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0014a0igxkjt4ajy
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;601;FUNDO DE MANUTENÇÃO E DESENVOLVI - MENTO DA EDUCAÇÃO BÁSICA - FUNDEB;21370000;GESTÃO DA FOLHA DE PAGAMENTO DA SEE(ENSINO MÉDIO REGULAR E INTEGRAL).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0015a0igjsuvhvzz
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;601;FUNDO DE MANUTENÇÃO E DESENVOLVI - MENTO DA EDUCAÇÃO BÁSICA - FUNDEB;21380000;GESTÃO DA FOLHA DE PAGAMENTO DA SEE(EDUCAÇÃO BÁSICA 70%).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunt0016a0igla5kplem
